plot;date;plant;L;l;surfaceF;surfaceST;N_aphid;time;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;add changes;avg_inact;avg_walk;avg_tend;tot_ant;tot_exp;
Oh-02_ext;15.08.2018;Beta;79;52;1;0;99;10h04;49;49;48;49;48;49;48;49;49;48;48;49;2;kA;kA;kA;kA;kA;
Oh-02_ext;15.08.2018;Beta;79;52;1;0;99;10h06;48;48;48;48;47;46;46;47;48;49;49;49;0;kA;kA;kA;kA;kA;
Oh-02_ext;15.08.2018;Beta;79;52;1;0;99;10h08;49;49;49;50;50;50;51;51;49,5;49;49;47;2;kA;kA;kA;kA;kA;
Oh-02_ext;20.08.2018;Beta;118;69;1;0;118;9h08;kA;kA;kA;kA;kA;kA;kA;kA;kA;kA;kA;kA;0;5;8;kA;57;4;
Oh-02_ext;20.08.2018;Beta;118;69;1;0;118;9h32;51;48;48;49;50;49;49;48;49;48;48;47;0;3;4;42;55;5;
Oh-02_ext;20.08.2018;Beta;118;69;1;0;118;9h53;48;49;47;46;46;47;46;48;48;50;50;49;0;2;6;40;56;6;
Oh-02_ext;20.08.2018;Beta;118;69;1;0;118;10h05;46;47;45;45;45;46;49;47;45;44;46;47;0;2;7;38;58;10;
Oh-02_ext;20.08.2018;Beta;118;69;1;0;118;10h18;50;51;48;47;46;49;49;50;48;46;48;49;0;8;5;35;56;5;
Oh-02_ext;26.08.2018;Ceta;38;66;1;0;218;9h27;32;32;31;31;31;31;31;31;31;31;31;31;0;0;4;27;35;2;
Oh-02_ext;26.08.2018;Ceta;38;66;1;0;218;9h41;30;29;29;31;30;30;32;30;30;30;29;29,5;1,5;0;3;27;38;7;
Oh-02_ext;26.08.2018;Ceta;38;66;1;0;218;9h55;32;30;30;32;32;32;32;32;29;30;29;29;0;0;3;28;41;4;
Oh-02_ext;26.08.2018;Ceta;38;66;1;0;218;10h05;37;37;38;39;40;39;40;39;40;39;39;36;0;0;8;31;44;1;
Oh-02_ext;26.08.2018;Ceta;38;66;1;0;218;10h20;31;32;32;33;33;33;33;34;34;34;34;33;0;0;3;30;43;7;
Oh-02_ext;01.09.2018;Delta;50;64;1;1;264;9h11;30;32;32;32;33;34;36;36;36;37;34;36,5;5,5;0;10;24;51;3;
Oh-02_ext;01.09.2018;Delta;50;64;1;1;264;9h27;25;28;28;27;27;27;28;29;28;26;27;27;0;1;4;22;44;6;
Oh-02_ext;01.09.2018;Delta;50;64;1;1;264;9h45;32;32;31;30;31;30;29;28;29;29;29;29;0;4;4;22;45;2;
Oh-02_ext;01.09.2018;Delta;50;64;1;1;264;10h04;29;29;29;30;31;31;30;31;30;30;30;29;0;5;1;24;45;0;
Oh-02_ext;01.09.2018;Delta;50;64;1;1;264;10h12;29;29;29;29;29;29;29;29;29;29;29;29;0;3;0;26;45;1;
Om-02;04.08.2018;Alpha;9;76;1;0;28;12h00;3;4;4;4;4;4;4;4;4;4;4;4;0;0;1;3;4;0;
Om-02;04.08.2018;Alpha;9;76;1;0;28;12h02;3;3;4;4;4;4;4;4;4;4;4;3;0;0;1;3;4;0;
Om-02;04.08.2018;Alpha;9;76;1;0;28;12h04;3;4;4;3;4;4;3;3;4;4;4;4;0;0;1;3;4;0;
Om-02;04.08.2018;Alpha;9;76;1;0;28;12h06;4;4;4;4;4;4;3;4;4;4;4;4;0;0;1;3;4;0;
Om-02;04.08.2018;Alpha;9;76;1;0;28;12h08;3;3;4;4;4;4;4;3;4;3;4;4;0;0;1;3;4;0;
Om-02;09.08.2018;Alpha;18;59;1;0;31;11h37;9;8;9;8;9;9;9;9;9;9;10;10;0;kA;kA;kA;10;1;
Om-02;09.08.2018;Alpha;18;59;1;0;31;11h39;10;10;10;10;10;10;10;10;10;10;10;10;0;kA;kA;kA;10;0;
