plot;date;plant;indv;rec;rec_1;rec_2;act_fl;act_st;act_le;act_c;L_act;ant;aphid;switch;no;steps;walk;exp;act_level;left;random;
Ol-55_ext1;24.08.2018;Ceta;D;E68;0;1;1;0;0;1;0,5;2;2;0;1;0;0;0;2;0;0;
Ol-55_ext1;24.08.2018;Ceta;E;E70;0;1;1;1;1;1;30;0;1;0;0;0;1;1;2;0;0;
Ol-55_ext2;25.08.2018;Delta;A;E51;1;0;0;1;1;1;12;5;20;1;0;0;1;1;3;0;0;
Ol-55_ext2;25.08.2018;Delta;B;E52;1;0;0;1;1;1;kA;2;3;0;0;0;1;0;3;1;0;
Ol-55_ext2;25.08.2018;Delta;C;E54;1;0;0;1;0;1;15;4;15;1;0;1;1;0;3;0;0;
Ol-55_ext2;25.08.2018;Delta;D;E56;1;0;0;1;1;1;40;3;35;1;0;0;1;0;3;0;0;
Ol-55_ext2;25.08.2018;Delta;E;E58;1;0;0;1;1;1;10;3;4;1;0;0;1;1;2;0;0;
Ol-55_ext2;25.08.2018;Delta;F;E59;1;0;0;1;0;1;7;3;10;1;0;1;1;0;2;0;0;
Ol-55_ext2;29.08.2018;Gamma;A;C91;1;0;1;1;0;1;5;1;15;0;0;0;1;0;3;0;0;
Ol-55_ext2;29.08.2018;Gamma;B;C92;1;0;1;1;1;1;10;3;15;1;0;0;1;1;3;0;0;
Ol-55_ext2;29.08.2018;Gamma;C;C94;1;0;1;1;1;1;10;2;20;1;0;0;1;1;3;0;0;
Ol-55_ext2;29.08.2018;Gamma;D;C96;1;0;0;1;1;1;7;3;30;0;0;1;1;0;2;0;0;
Ol-55_ext2;29.08.2018;Gamma;E;C98;1;0;0;0;1;1;5;1;10;0;0;0;0;1;3;0;0;
Nl-200_ext;02.08.2018;Alpha;A;A36;0;1;1;0;0;1;2;kA;kA;kA;0;0;1;0;kA;0;0;
Nl-200_ext;02.08.2018;Alpha;B;A37;0;1;1;0;0;1;2;kA;kA;kA;0;0;1;0;kA;0;0;
Nl-200_ext;02.08.2018;Alpha;C;A38;0;1;1;0;0;1;2;kA;kA;kA;0;0;1;0;kA;0;0;
Nl-200_ext;02.08.2018;Alpha;D;A39;0;1;1;0;0;1;2;kA;kA;kA;0;1;1;0;kA;0;0;
Nl-200_ext;02.08.2018;Alpha;E;A40;0;1;1;0;0;1;2;kA;kA;kA;0;0;1;0;kA;0;pollen;
Nl-200_ext;02.08.2018;Alpha;F;A41;0;1;1;0;0;1;2;kA;kA;kA;0;1;1;0;kA;0;pollen;
Nl-200_ext;02.08.2018;Alpha;G;A42;0;1;1;0;0;1;2;kA;kA;kA;0;1;1;0;kA;0;0;
Nl-200_ext;02.08.2018;Alpha;H;A43;0;1;1;0;0;1;0,5;kA;5;kA;1;1;0;0;kA;0;0;
Nl-200_ext;07.08.2018;Alpha;A;B12;1;0;1;0;0;1;6;kA;15;1;0;0;1;0;2;0;0;
Nl-200_ext;07.08.2018;Alpha;B;B13;1;0;1;0;0;1;6;kA;kA;1;0;0;1;0;2;0;0;
Nl-200_ext;07.08.2018;Alpha;C;B14;1;0;1;0;0;1;2;kA;kA;1;0;1;1;0;2;0;0;
Nl-200_ext;07.08.2018;Alpha;D;B15;1;0;1;0;0;0;1;1;0;0;0;1;0;0;2;0;tending a mosquito;
Nl-200_ext;07.08.2018;Alpha;E;B16;1;0;1;0;0;1;0,5;0;3;0;1;0;0;0;1;0;0;
Nl-200_ext;07.08.2018;Alpha;F;B17;1;0;1;0;0;1;2;kA;kA;1;0;0;1;0;2;0;0;
Nl-200_ext;12.08.2018;Alpha;A;C15;1;0;1;1;1;1;15;1;kA;1;0;0;1;1;3;0;0;
Nl-200_ext;12.08.2018;Alpha;B;C16;1;0;1;1;1;1;20;3;kA;1;0;0;1;1;3;0;0;
Nl-200_ext;12.08.2018;Alpha;C;C17;1;0;1;0;0;1;4;1;3;0;1;0;1;0;1;0;0;
Nl-200_ext;12.08.2018;Alpha;D;C18;1;0;1;0;0;1;6;1;6;0;0;1;1;0;3;0;0;
Nl-200_ext;12.08.2018;Alpha;E;C19;1;0;1;0;0;1;0,5;0;3;0;1;0;0;0;1;0;0;
Nl-200_ext;12.08.2018;Alpha;F;C20;1;0;1;1;1;1;7;kA;8;1;0;1;0;1;2;0;0;
Nl-200_ext;16.08.2018;Alpha;A;D1;1;0;0;1;1;1;15;1;6;0;0;0;1;0;2;0;0;
Nl-200_ext;16.08.2018;Alpha;B;D2;1;0;1;1;1;1;20;0;2;1;0;0;1;0;2;0;fight?;
Nl-200_ext;16.08.2018;Alpha;C;D3;1;0;0;1;0;1;0,5;2;7;0;1;1;0;0;2;0;0;
Nl-200_ext;16.08.2018;Alpha;D;D4;1;0;1;1;1;1;25;1;7;0;1;0;0;1;2;0;pollen;
Nl-200_ext;16.08.2018;Alpha;E;D5;1;0;0;1;0;1;kA;3;0;0;0;1;1;0;2;1;fight?;
Nl-200_ext;16.08.2018;Alpha;F;D6;1;0;0;1;0;1;1;2;7;0;1;1;0;0;2;0;fight?;
Ol-11_ext;03.08.2018;Alpha;A;A49;1;0;1;1;1;1;25;kA;kA;0;0;0;1;1;2;0;0;
Ol-11_ext;03.08.2018;Alpha;B;A50;1;0;1;0;0;1;2;kA;35;1;0;1;0;0;2;0;0;
Ol-11_ext;03.08.2018;Alpha;C;A51;1;0;1;0;0;1;2;kA;3;0;1;0;1;0;2;0;hurt antennae;
Ol-11_ext;03.08.2018;Alpha;D;A52;1;0;1;1;0;1;25;kA;kA;0;0;0;1;1;2;0;0;
Ol-11_ext;03.08.2018;Alpha;E;A53;1;0;1;0;0;1;4;kA;kA;0;0;1;0;0;2;0;0;
Ol-11_ext;03.08.2018;Alpha;F;A54;1;0;0;1;0;0;kA;kA;0;0;0;0;1;0;2;1;0;
Ol-11_ext;03.08.2018;Alpha;G;A55;1;0;1;1;0;0;kA;kA;kA;0;0;0;1;1;2;1;0;
Ol-11_ext;03.08.2018;Alpha;H;A56;1;0;1;0;0;1;3;kA;kA;0;0;1;0;0;2;0;0;
Ol-11_ext;08.08.2018;Beta;A;B27;1;0;1;1;0;1;6;kA;40;0;0;0;1;0;3;0;0;
Ol-11_ext;08.08.2018;Beta;B;B28;1;0;0;1;1;1;4;1;12;1;0;1;0;1;2;0;0;
Ol-11_ext;08.08.2018;Beta;C;B29;1;0;1;1;0;1;kA;kA;kA;0;0;0;1;0;2;1;0;
Ol-11_ext;08.08.2018;Beta;D;B30;1;0;1;1;0;1;6;kA;kA;0;0;1;1;0;2;0;0;
Ol-11_ext;08.08.2018;Beta;E;B31;1;0;1;1;1;1;4;kA;6;0;0;1;0;0;2;0;0;
Ol-11_ext;08.08.2018;Beta;F;B32;1;0;1;1;1;1;30;kA;kA;0;0;0;1;1;2;0;0;
Ol-11_ext;13.08.2018;Ceta;A;C36;1;0;1;1;1;1;10;kA;kA;0;0;0;1;0;2;0;0;
Ol-11_ext;13.08.2018;Ceta;B;C37;1;0;1;0;0;1;5;kA;kA;1;0;1;0;0;2;0;fight?;
Ol-11_ext;13.08.2018;Ceta;C;C38;1;0;1;0;0;1;5;kA;kA;0;0;0;1;0;2;0;fight?;
Ol-11_ext;13.08.2018;Ceta;D;C39;1;0;1;1;1;1;10;kA;kA;1;0;0;1;1;2;0;fight?;
Ol-11_ext;13.08.2018;Ceta;E;C40;1;0;1;0;0;1;3;kA;kA;1;0;1;0;0;2;0;0;
Ol-11_ext;13.08.2018;Ceta;F;C41;1;0;0;1;1;0;20;kA;kA;0;0;0;0;1;2;0;0;
Ol-11_ext;18.08.2018;Alpha;A;D49;0;1;1;0;0;1;1;1;20;0;0;1;0;0;2;0;0;
Ol-11_ext;18.08.2018;Alpha;B;D50;0;1;1;0;0;1;6;1;50;1;0;1;1;0;2;0;0;
Ol-11_ext;18.08.2018;Alpha;C;D52;0;1;1;0;0;1;5;1;30;kA;0;1;1;0;2;0;0;
Ol-11_ext;18.08.2018;Alpha;D;D53;0;1;0;0;1;1;1;0;2;0;0;1;0;0;2;0;0;
Ol-11_ext;18.08.2018;Alpha;E;D56;0;1;1;0;0;1;5;1;20;kA;0;1;1;0;2;0;0;
Ol-11_ext;25.08.2018;Alpha;A;E73;1;0;0;1;0;1;1;3;30;0;0;1;0;0;2;0;0;
Ol-11_ext;25.08.2018;Alpha;B;E74;1;0;0;1;0;1;1;1;6;0;0;1;0;0;2;0;0;
Ol-11_ext;25.08.2018;Alpha;C;E76;1;0;0;1;0;1;2;2;50;0;0;1;0;0;2;0;0;
Ol-11_ext;25.08.2018;Alpha;D;E78;1;0;0;1;1;0;15;1;1;0;0;0;0;1;2;0;0;
Ol-11_ext;25.08.2018;Alpha;E;E80;1;0;0;1;0;1;14;2;25;1;0;1;1;0;2;0;0;
Ol-11_ext;31.08.2018;Delta;A;C101;1;0;0;1;0;1;1;3;40;0;0;1;0;0;2;0;0;
Ol-11_ext;31.08.2018;Delta;B;C102;1;0;0;1;0;1;4;1;10;0;0;1;1;0;1;0;lack of antennae;
Ol-11_ext;31.08.2018;Delta;C;C105;1;0;0;1;0;1;2;2;20;0;0;1;0;0;2;0;0;
Ol-11_ext;31.08.2018;Delta;D;C106;1;0;0;1;1;1;2;1;20;0;1;1;0;0;2;0;0;
Ol-11_ext;31.08.2018;Delta;E;C108;1;0;0;1;0;1;10;1;15;0;0;1;1;0;1;0;arrived from down;
Nh-10;03.08.2018;Alpha;A;A57;0;1;0;1;1;1;20;kA;kA;1;0;0;0;1;3;0;0;
Nh-10;03.08.2018;Alpha;B;A58;0;1;1;1;1;1;25;kA;kA;1;0;0;1;1;2;0;0;
Nh-10;03.08.2018;Alpha;C;A59;0;1;1;1;1;1;25;kA;kA;1;0;0;1;1;2;0;0;
Nh-10;03.08.2018;Alpha;D;A60;0;1;1;1;1;1;10;kA;kA;1;0;0;1;1;2;0;0;
Nh-10;03.08.2018;Alpha;E;A61;0;1;1;1;1;1;30;kA;kA;1;0;0;1;1;2;0;0;
Nh-10;03.08.2018;Alpha;F;A62;0;1;1;1;1;1;kA;kA;kA;1;0;0;1;1;2;1;0;
Nh-10;03.08.2018;Alpha;G;A63;0;1;1;1;1;1;kA;kA;kA;1;0;0;1;1;2;0;gets aggressions?;
Nh-10;08.08.2018;Alpha;A;B38;0;1;1;1;1;1;30;kA;kA;1;0;0;1;1;3;0;pollen;
Nh-10;08.08.2018;Alpha;B;B39;0;1;1;1;0;1;6;kA;kA;0;0;0;1;1;3;0;0;
Nh-10;08.08.2018;Alpha;C;B40;0;1;1;1;1;1;15;kA;kA;1;0;0;1;0;2;0;0;
Nh-10;08.08.2018;Alpha;D;B41;0;1;1;1;1;1;35;kA;kA;0;1;0;0;1;3;0;pollen;
Nh-10;08.08.2018;Alpha;E;B42;0;1;1;1;1;1;10;kA;kA;1;0;0;1;0;2;0;0;
Nh-10;08.08.2018;Alpha;F;B43;0;1;1;1;0;1;6;kA;kA;1;0;0;1;0;2;0;0;
Nh-10;13.08.2018;Alpha;A;C47;0;1;1;0;0;1;4;1;kA;1;0;1;1;0;2;0;0;
Nh-10;13.08.2018;Alpha;B;C48;0;1;1;0;0;1;4;1;kA;1;0;0;1;0;2;0;0;
Nh-10_ext;18.08.2018;Beta;A;D38;1;0;1;1;1;1;5;6;4;0;0;0;1;1;2;0;0;
Nh-10_ext;18.08.2018;Beta;B;D39;1;0;1;0;0;1;1;4;3;0;1;1;0;0;1;0;0;
Nh-10_ext;18.08.2018;Beta;C;D41;1;0;1;0;0;1;4;1;1;0;0;1;1;0;1;0;0;
Nh-10_ext;18.08.2018;Beta;D;D42;1;0;1;1;0;1;5;2;2;0;1;0;1;0;2;0;0;
Nh-10_ext;18.08.2018;Beta;E;D45;1;0;1;1;0;1;kA;2;7;1;0;0;1;0;2;1;0;
Nh-10_ext;23.08.2018;Beta;A;E33;1;0;1;0;0;1;1;5;2;0;1;1;0;0;1;0;0;
Nh-10_ext;23.08.2018;Beta;B;E34;1;0;1;0;0;1;kA;4;6;0;1;1;0;0;1;0;0;
Nh-10_ext;23.08.2018;Beta;C;E36;1;0;1;1;1;1;7;1;2;0;0;0;1;1;0;0;0;
Nh-10_ext;23.08.2018;Beta;D;E38;1;0;1;0;0;1;1;2;1;0;1;0;0;0;0;0;0;
Nh-10_ext;25.08.2018;Ceta;A;E83;0;1;0;1;1;1;7;2;5;0;0;0;1;1;2;0;0;
Nh-10_ext;25.08.2018;Ceta;B;E84;0;1;0;1;0;1;5;4;35;1;0;0;1;0;2;0;0;
Nh-10_ext;25.08.2018;Ceta;C;E86;0;1;0;1;0;1;3;3;35;1;0;1;1;0;2;0;0;
Nh-10_ext;25.08.2018;Ceta;D;E88;0;1;1;1;0;1;3;1;3;0;0;0;1;0;2;0;0;
Nh-10_ext;25.08.2018;Ceta;E;E90;0;1;0;1;1;1;20;3;15;0;0;0;1;1;2;1;0;
